h3_cell,road_count,total_length_m,avg_lat,avg_lon,primary_ratio
877522883ffffff,10,153165.80,9.586641,-2.574582,0.00
87390db92ffffff,253,670626.70,40.468021,-2.498249,0.00
87397699dffffff,263,632449.93,41.610654,-2.468964,0.00
8759a5cadffffff,21,5162008.58,17.350429,-1.997232,0.00
8738ae08dffffff,10,2242987.01,28.335760,-2.580140,1.00
8739768b0ffffff,436,501996.89,41.533908,-2.459319,0.12
8759a2b95ffffff,63,2089790.00,15.705976,-2.227738,0.00
8759a421bffffff,16,3932958.92,17.069946,-2.203869,0.00
873824b26ffffff,476,1409120.83,37.789446,-2.450101,0.00
875986da3ffffff,7,103070.02,13.824675,-2.509921,0.00
8738155adffffff,36,1746973.59,32.141174,-2.599392,0.00
87382249cffffff,227,440034.10,34.865270,-2.510667,0.12
873824b9effffff,196,323655.64,37.525329,-2.451182,0.00
8759a4aa5ffffff,16,90203.80,17.465804,-2.444763,0.00
8738100e9ffffff,8,181532.42,31.321605,-2.410436,1.00
877523090ffffff,26,1909422.85,8.570125,-2.221244,1.00
873812ad1ffffff,8,768949.81,30.513676,-2.603357,1.00
8759a2561ffffff,35,1307372.47,15.377377,-2.491029,0.00
873815589ffffff,5,221140.06,32.083846,-2.549505,0.00
87750122cffffff,47,1361170.88,6.564941,-2.483433,0.83
8738ae3b4ffffff,6,1345792.20,28.425173,-2.388530,1.00
87390b9acffffff,90,227521.61,38.770252,-2.484735,0.22
873833341ffffff,28,944112.13,33.376842,-2.437662,0.00
87390b99affffff,1237,627715.82,38.631651,-2.499632,0.17
8759b16a9ffffff,17,196449.05,14.070051,-2.487244,0.00
8739292d3ffffff,18,86653.24,41.880911,-2.415371,0.00
8759a24d9ffffff,34,157398.22,15.009301,-2.410822,0.00
875916031ffffff,4,983239.73,18.298402,-1.272208,0.00
877522a09ffffff,14,540491.82,9.193582,-2.269807,0.00
873824bb2ffffff,53,356232.74,37.583439,-2.539727,0.49
87752665bffffff,17,160552.85,9.798698,-2.509550,0.41
8759a426cffffff,14,3441339.06,17.208191,-2.067679,0.00
873974da2ffffff,173,421335.84,42.396865,-2.417225,0.32
8739292dcffffff,28,612326.13,41.901823,-2.368428,1.00
873976893ffffff,60,188950.14,41.463326,-2.413594,0.00
8759b1aa4ffffff,1,20348.68,14.747994,-2.475529,0.00
8759a2455ffffff,1,35877.23,15.162497,-2.420308,1.00
873833208ffffff,40,358828.08,33.214756,-2.465153,0.50
877505d18ffffff,37,455212.94,8.154029,-2.470855,0.00
87750c40effffff,28,551345.91,6.195878,-2.405896,1.00
87390d053ffffff,312,1209865.27,40.202769,-2.412400,0.00
873824859ffffff,34,120589.38,37.666764,-2.524816,0.00
87390db04ffffff,12,28363.89,40.696401,-2.412105,0.00
87556ca64ffffff,1,132296.60,19.848426,-2.084656,0.00
87390db94ffffff,366,960541.16,40.504333,-2.508229,0.06
87556ca5dffffff,1,132296.60,19.750548,-2.126885,0.00
877501926ffffff,10,146173.81,7.305767,-2.384065,0.00
877501af1ffffff,6,116019.61,6.707702,-2.375490,1.00
